,KM Driven,Fuel Type,Transmission Type,Ownership,Price(in Lakhs),Brand,Model_Only,Car Age
6994,55290,Petrol,Manual,1,1.76,Maruti,Ritz,14
6995,28010,Petrol,Manual,1,4.18,Ford,Figo Aspire,5
6996,20980,Petrol,Manual,1,6.9,Maruti,Vitara Brezza,4
6997,34130,Petrol,Manual,1,5.0,Renault,TRIBER,6
6998,67510,Petrol,Manual,1,1.25,Maruti,A Star,15
6999,78840,Diesel,Manual,2,6.5,Maruti,Ertiga,9
7000,68270,Petrol,Manual,2,1.28,Maruti,Alto K10,12
7001,47600,Petrol,Manual,1,4.18,Maruti,Swift Dzire,9
7002,85160,Diesel,Manual,4,2.62,Mahindra,XUV500,13
7003,46820,Petrol,Manual,2,1.42,Maruti,Alto K10,13
7004,200000,Petrol,Manual,1,1.9,Maruti,Swift,14
7005,98130,Petrol,Manual,1,3.65,Honda,City,11
7006,20200,Petrol,Manual,1,2.67,Maruti,Swift,12
7007,82430,Diesel,Manual,1,5.34,Maruti,Vitara Brezza,7
7008,57400,Diesel,Manual,1,10.0,Force,Motors GURKHA,3
7009,120000,Petrol,Manual,3,2.0,Maruti,Alto K10,9
7010,110000,Petrol,Manual,1,5.0,Tata,ALTROZ,4
7011,69770,Diesel,Manual,1,5.5,Tata,TIGOR,5
7012,130000,Diesel,Manual,1,3.29,Renault,Duster,10
7013,45430,Petrol,Manual,2,2.78,Maruti,Swift,13
7014,63180,Petrol,Manual,1,7.48,Hyundai,Verna,7
7015,44080,Petrol,Manual,1,3.25,Hyundai,Grand i10,8
7016,46300,Petrol,Manual,2,3.51,Hyundai,Grand i10,10
7017,84860,Petrol,Manual,1,5.14,Maruti,Baleno,8
7018,170000,Diesel,Manual,1,7.5,Mahindra,XUV500,8
7019,55990,Petrol,Manual,1,5.83,Honda,Amaze,4
